"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17161","Rock Island County, IL","30,611","0","3,824","578","12.5","1.9","26,787","578","87.5","1.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17161","Rock Island County, IL","30,927","0","3,573","542","11.6","1.8","27,354","542","88.4","1.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17161","Rock Island County, IL","31,194","0","3,523","558","11.3","1.8","27,672","558","88.7","1.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17161","Rock Island County, IL","30,620","0","3,776","608","12.3","2.0","26,844","608","87.7","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17163","St. Clair County, IL","54,411","0","2,689","583","4.9","1.1","51,722","583","95.1","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17163","St. Clair County, IL","54,645","0","3,117","642","5.7","1.2","51,528","642","94.3","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17163","St. Clair County, IL","54,521","0","4,565","811","8.4","1.5","49,956","811","91.6","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17163","St. Clair County, IL","54,107","0","6,767","982","12.5","1.8","47,340","982","87.5","1.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17163","St. Clair County, IL","53,262","0","6,390","943","12.0","1.8","46,872","943","88.0","1.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17163","St. Clair County, IL","53,040","0","5,719","908","10.8","1.7","47,321","908","89.2","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17163","St. Clair County, IL","51,373","0","5,239","876","10.2","1.7","46,134","876","89.8","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17165","Saline County, IL","5,054","0","261","69","5.2","1.4","4,793","69","94.8","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17165","Saline County, IL","5,059","0","280","70","5.5","1.4","4,779","70","94.5","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17165","Saline County, IL","5,131","0","457","101","8.9","2.0","4,674","101","91.1","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17165","Saline County, IL","5,134","0","656","124","12.8","2.4","4,478","124","87.2","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17165","Saline County, IL","5,092","0","719","127","14.1","2.5","4,373","127","85.9","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17165","Saline County, IL","5,187","0","612","119","11.8","2.3","4,574","119","88.2","2.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17165","Saline County, IL","5,063","0","621","127","12.3","2.5","4,442","127","87.7","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17167","Sangamon County, IL","41,673","0","1,913","414","4.6","1.0","39,760","414","95.4","1.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17167","Sangamon County, IL","42,253","0","1,767","365","4.2","0.9","40,486","365","95.8","0.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17167","Sangamon County, IL","42,550","0","2,734","489","6.4","1.1","39,816","489","93.6","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17167","Sangamon County, IL","42,494","0","3,936","602","9.3","1.4","38,558","602","90.7","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17167","Sangamon County, IL","42,384","0","4,406","664","10.4","1.6","37,977","664","89.6","1.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17167","Sangamon County, IL","42,258","0","4,340","675","10.3","1.6","37,918","675","89.7","1.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17167","Sangamon County, IL","41,276","0","3,694","624","9.0","1.5","37,581","624","91.0","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17169","Schuyler County, IL","1,600","0","118","33","7.4","2.1","1,482","33","92.6","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17169","Schuyler County, IL","1,623","0","94","25","5.8","1.5","1,529","25","94.2","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17169","Schuyler County, IL","1,655","0","148","32","8.9","1.9","1,507","32","91.1","1.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17169","Schuyler County, IL","1,666","0","248","45","14.9","2.7","1,418","45","85.1","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17169","Schuyler County, IL","1,683","0","232","42","13.8","2.5","1,451","42","86.2","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17169","Schuyler County, IL","1,685","0","238","45","14.1","2.7","1,447","45","85.9","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17169","Schuyler County, IL","1,641","0","230","45","14.0","2.8","1,411","45","86.0","2.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17171","Scott County, IL","1,174","0","68","18","5.8","1.5","1,106","18","94.2","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17171","Scott County, IL","1,198","0","57","15","4.8","1.3","1,141","15","95.2","1.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17171","Scott County, IL","1,202","0","96","22","8.0","1.8","1,106","22","92.0","1.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17171","Scott County, IL","1,177","0","155","29","13.2","2.5","1,022","29","86.8","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17171","Scott County, IL","1,137","0","132","25","11.6","2.2","1,005","25","88.4","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17171","Scott County, IL","1,107","0","130","25","11.8","2.3","977","25","88.2","2.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17171","Scott County, IL","1,080","0","125","26","11.6","2.4","955","26","88.4","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17173","Shelby County, IL","4,809","0","211","56","4.4","1.2","4,598","56","95.6","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17173","Shelby County, IL","4,899","0","255","65","5.2","1.3","4,644","65","94.8","1.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17173","Shelby County, IL","4,923","0","401","86","8.1","1.7","4,522","86","91.9","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17173","Shelby County, IL","4,927","0","580","106","11.8","2.2","4,347","106","88.2","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17173","Shelby County, IL","4,901","0","590","107","12.0","2.2","4,311","107","88.0","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17173","Shelby County, IL","4,962","0","642","115","12.9","2.3","4,320","115","87.1","2.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17173","Shelby County, IL","4,814","0","536","107","11.1","2.2","4,278","107","88.9","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17175","Stark County, IL","1,237","0","66","18","5.3","1.5","1,171","18","94.7","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17175","Stark County, IL","1,255","0","63","16","5.0","1.3","1,192","16","95.0","1.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17175","Stark County, IL","1,263","0","98","22","7.8","1.7","1,165","22","92.2","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17175","Stark County, IL","1,260","0","146","27","11.6","2.1","1,114","27","88.4","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17175","Stark County, IL","1,249","0","151","28","12.1","2.3","1,098","28","87.9","2.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17175","Stark County, IL","1,277","0","150","29","11.7","2.3","1,127","29","88.3","2.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17175","Stark County, IL","1,280","0","157","33","12.3","2.6","1,123","33","87.7","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17177","Stephenson County, IL","10,143","0","483","124","4.8","1.2","9,660","124","95.2","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17177","Stephenson County, IL","10,320","0","516","124","5.0","1.2","9,804","124","95.0","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17177","Stephenson County, IL","10,478","0","730","152","7.0","1.5","9,748","152","93.0","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17177","Stephenson County, IL","10,408","0","1,195","204","11.5","2.0","9,213","204","88.5","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17177","Stephenson County, IL","10,380","0","1,215","216","11.7","2.1","9,165","216","88.3","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17177","Stephenson County, IL","10,464","0","1,237","222","11.8","2.1","9,227","222","88.2","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17177","Stephenson County, IL","10,132","0","1,116","219","11.0","2.2","9,016","219","89.0","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17179","Tazewell County, IL","27,115","0","1,073","250","4.0","0.9","26,042","250","96.0","0.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17179","Tazewell County, IL","27,414","0","1,100","243","4.0","0.9","26,314","243","96.0","0.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17179","Tazewell County, IL","27,599","0","1,593","305","5.8","1.1","26,006","305","94.2","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17179","Tazewell County, IL","27,831","0","2,613","416","9.4","1.5","25,218","416","90.6","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17179","Tazewell County, IL","27,753","0","2,495","408","9.0","1.5","25,258","408","91.0","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17179","Tazewell County, IL","27,803","0","2,550","439","9.2","1.6","25,252","439","90.8","1.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17179","Tazewell County, IL","27,266","0","2,488","429","9.1","1.6","24,778","429","90.9","1.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17181","Union County, IL","3,783","0","214","57","5.7","1.5","3,569","57","94.3","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17181","Union County, IL","3,815","0","232","58","6.1","1.5","3,583","58","93.9","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17181","Union County, IL","3,892","0","369","76","9.5","2.0","3,523","76","90.5","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17181","Union County, IL","3,927","0","570","99","14.5","2.5","3,357","99","85.5","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17181","Union County, IL","3,924","0","535","95","13.6","2.4","3,390","95","86.4","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17181","Union County, IL","3,948","0","515","97","13.1","2.5","3,433","97","86.9","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17181","Union County, IL","3,864","0","496","97","12.8","2.5","3,368","97","87.2","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17183","Vermilion County, IL","15,840","0","945","230","6.0","1.5","14,895","230","94.0","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17183","Vermilion County, IL","16,147","0","754","171","4.7","1.1","15,393","171","95.3","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17183","Vermilion County, IL","16,384","0","1,430","277","8.7","1.7","14,954","277","91.3","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17183","Vermilion County, IL","16,508","0","1,916","318","11.6","1.9","14,592","318","88.4","1.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17183","Vermilion County, IL","16,616","0","2,128","347","12.8","2.1","14,489","347","87.2","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17183","Vermilion County, IL","16,760","0","1,903","338","11.4","2.0","14,857","338","88.6","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17183","Vermilion County, IL","16,435","0","2,173","393","13.2","2.4","14,262","393","86.8","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17185","Wabash County, IL","2,560","0","136","36","5.3","1.4","2,424","36","94.7","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17185","Wabash County, IL","2,586","0","121","30","4.7","1.2","2,465","30","95.3","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17185","Wabash County, IL","2,631","0","197","44","7.5","1.7","2,434","44","92.5","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17185","Wabash County, IL","2,681","0","291","56","10.9","2.1","2,390","56","89.1","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17185","Wabash County, IL","2,652","0","307","59","11.6","2.2","2,345","59","88.4","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17185","Wabash County, IL","2,648","0","282","57","10.7","2.2","2,365","57","89.3","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17185","Wabash County, IL","2,585","0","317","66","12.3","2.5","2,268","66","87.7","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17187","Warren County, IL","3,461","0","223","57","6.4","1.6","3,238","57","93.6","1.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17187","Warren County, IL","3,573","0","225","56","6.3","1.6","3,348","56","93.7","1.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17187","Warren County, IL","3,653","0","306","67","8.4","1.8","3,347","67","91.6","1.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17187","Warren County, IL","3,673","0","520","97","14.2","2.6","3,153","97","85.8","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17187","Warren County, IL","3,655","0","483","89","13.2","2.4","3,173","89","86.8","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17187","Warren County, IL","3,664","0","524","98","14.3","2.7","3,140","98","85.7","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17187","Warren County, IL","3,600","0","500","98","13.9","2.7","3,100","98","86.1","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17189","Washington County, IL","3,277","0","157","41","4.8","1.3","3,120","41","95.2","1.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17189","Washington County, IL","3,316","0","139","35","4.2","1.1","3,177","35","95.8","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17189","Washington County, IL","3,322","0","209","45","6.3","1.4","3,113","45","93.7","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17189","Washington County, IL","3,293","0","309","57","9.4","1.7","2,984","57","90.6","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17189","Washington County, IL","3,255","0","319","61","9.8","1.9","2,935","61","90.2","1.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17189","Washington County, IL","3,239","0","351","67","10.8","2.1","2,889","67","89.2","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17189","Washington County, IL","3,171","0","325","66","10.3","2.1","2,846","66","89.7","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17191","Wayne County, IL","3,426","0","193","51","5.6","1.5","3,233","51","94.4","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17191","Wayne County, IL","3,464","0","195","49","5.6","1.4","3,269","49","94.4","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17191","Wayne County, IL","3,511","0","291","63","8.3","1.8","3,220","63","91.7","1.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17191","Wayne County, IL","3,512","0","486","86","13.8","2.4","3,026","86","86.2","2.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17191","Wayne County, IL","3,516","0","474","87","13.5","2.5","3,042","87","86.5","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17191","Wayne County, IL","3,544","0","488","91","13.8","2.6","3,055","91","86.2","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17191","Wayne County, IL","3,479","0","479","98","13.8","2.8","3,000","98","86.2","2.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17193","White County, IL","3,095","0","151","40","4.9","1.3","2,944","40","95.1","1.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17193","White County, IL","3,084","0","150","37","4.9","1.2","2,934","37","95.1","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17193","White County, IL","3,118","0","216","47","6.9","1.5","2,902","47","93.1","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17193","White County, IL","3,181","0","355","66","11.2","2.1","2,826","66","88.8","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17193","White County, IL","3,209","0","404","72","12.6","2.3","2,804","72","87.4","2.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17193","White County, IL","3,245","0","398","73","12.3","2.2","2,848","73","87.7","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17193","White County, IL","3,161","0","410","81","13.0","2.6","2,751","81","87.0","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17195","Whiteside County, IL","12,140","0","687","175","5.7","1.4","11,453","175","94.3","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17195","Whiteside County, IL","12,306","0","636","149","5.2","1.2","11,670","149","94.8","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17195","Whiteside County, IL","12,405","0","801","165","6.5","1.3","11,604","165","93.5","1.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17195","Whiteside County, IL","12,545","0","1,438","244","11.5","1.9","11,107","244","88.5","1.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17195","Whiteside County, IL","12,554","0","1,534","249","12.2","2.0","11,020","249","87.8","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17195","Whiteside County, IL","12,648","0","1,428","254","11.3","2.0","11,220","254","88.7","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17195","Whiteside County, IL","12,351","0","1,583","288","12.8","2.3","10,769","288","87.2","2.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17197","Will County, IL","134,606","0","6,865","1,173","5.1","0.9","127,741","1,173","94.9","0.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17197","Will County, IL","132,920","0","5,916","963","4.5","0.7","127,004","963","95.5","0.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17197","Will County, IL","129,918","0","9,537","1,321","7.3","1.0","120,381","1,321","92.7","1.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17197","Will County, IL","126,353","0","12,735","1,481","10.1","1.2","113,618","1,481","89.9","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17197","Will County, IL","123,155","0","12,910","1,539","10.5","1.2","110,244","1,539","89.5","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17197","Will County, IL","120,528","0","11,957","1,632","9.9","1.4","108,571","1,632","90.1","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17197","Will County, IL","116,553","0","13,611","1,689","11.7","1.4","102,942","1,689","88.3","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17199","Williamson County, IL","13,402","0","701","169","5.2","1.3","12,701","169","94.8","1.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17199","Williamson County, IL","13,477","0","647","151","4.8","1.1","12,830","151","95.2","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17199","Williamson County, IL","13,453","0","1,087","211","8.1","1.6","12,366","211","91.9","1.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17199","Williamson County, IL","13,416","0","1,736","296","12.9","2.2","11,680","296","87.1","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17199","Williamson County, IL","13,490","0","1,720","298","12.7","2.2","11,771","298","87.3","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17199","Williamson County, IL","13,623","0","1,670","299","12.3","2.2","11,953","299","87.7","2.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17199","Williamson County, IL","13,266","0","1,951","351","14.7","2.6","11,315","351","85.3","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17201","Winnebago County, IL","58,697","0","3,912","758","6.7","1.3","54,785","758","93.3","1.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17201","Winnebago County, IL","59,383","0","3,577","665","6.0","1.1","55,806","665","94.0","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17201","Winnebago County, IL","59,603","0","5,923","950","9.9","1.6","53,680","950","90.1","1.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17201","Winnebago County, IL","59,445","0","7,696","1,041","12.9","1.8","51,749","1,041","87.1","1.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17201","Winnebago County, IL","59,166","0","8,538","1,087","14.4","1.8","50,628","1,087","85.6","1.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17201","Winnebago County, IL","59,229","0","7,973","1,100","13.5","1.9","51,256","1,100","86.5","1.9"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17201","Winnebago County, IL","58,061","0","7,362","1,060","12.7","1.8","50,699","1,060","87.3","1.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","17203","Woodford County, IL","8,186","0","321","79","3.9","1.0","7,865","79","96.1","1.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","17203","Woodford County, IL","8,346","0","285","68","3.4","0.8","8,061","68","96.6","0.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","17203","Woodford County, IL","8,305","0","458","97","5.5","1.2","7,847","97","94.5","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","17203","Woodford County, IL","8,237","0","630","113","7.6","1.4","7,607","113","92.4","1.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","17203","Woodford County, IL","8,195","0","690","124","8.4","1.5","7,505","124","91.6","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","17203","Woodford County, IL","8,155","0","720","131","8.8","1.6","7,435","131","91.2","1.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","17203","Woodford County, IL","7,908","0","676","134","8.6","1.7","7,231","134","91.4","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","18000","Indiana","1,297,474","0","97,587","5,213","7.5","0.4","1,199,887","5,213","92.5","0.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","18000","Indiana","1,304,405","0","115,905","5,563","8.9","0.4","1,188,500","5,563","91.1","0.4"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","18000","Indiana","1,299,022","0","142,855","6,017","11.0","0.5","1,156,167","6,017","89.0","0.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","18000","Indiana","1,289,482","0","166,531","6,594","12.9","0.5","1,122,951","6,594","87.1","0.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","18000","Indiana","1,274,463","0","169,741","6,377","13.3","0.5","1,104,721","6,377","86.7","0.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","18000","Indiana","1,267,702","0","172,626","6,803","13.6","0.5","1,095,076","6,803","86.4","0.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","18000","Indiana","1,236,439","0","151,939","6,323","12.3","0.5","1,084,501","6,323","87.7","0.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2009","18000","Indiana","1,182,800","0","138,141","5,880","11.7","0.5","1,044,659","5,880","88.3","0.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2008","18000","Indiana","1,158,375","0","114,783","5,320","9.9","0.5","1,043,592","5,320","90.1","0.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2007","18000","Indiana","1,160,132","0","111,716","11,308","9.6","1.0","1,048,416","12,306","90.4","1.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2006","18000","Indiana","1,121,396","0","116,155","11,526","10.4","1.0","1,005,241","13,182","89.6","1.2"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","18001","Adams County, IN","6,154","0","507","126","8.2","2.0","5,647","126","91.8","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","18001","Adams County, IN","6,193","0","566","129","9.1","2.1","5,627","129","90.9","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","18001","Adams County, IN","6,166","0","719","142","11.7","2.3","5,447","142","88.3","2.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","18001","Adams County, IN","6,100","0","876","151","14.4","2.5","5,224","151","85.6","2.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","18001","Adams County, IN","6,131","0","921","162","15.0","2.6","5,210","162","85.0","2.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","18001","Adams County, IN","6,086","0","969","171","15.9","2.8","5,117","171","84.1","2.8"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","18001","Adams County, IN","5,923","0","814","159","13.7","2.7","5,109","159","86.3","2.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","18003","Allen County, IN","69,317","0","5,452","918","7.9","1.3","63,865","918","92.1","1.3"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","18003","Allen County, IN","69,862","0","6,956","1,039","10.0","1.5","62,906","1,039","90.0","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","18003","Allen County, IN","69,557","0","8,171","1,075","11.7","1.5","61,386","1,075","88.3","1.5"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","18003","Allen County, IN","68,994","0","9,035","1,081","13.1","1.6","59,959","1,081","86.9","1.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","18003","Allen County, IN","68,194","0","9,222","1,118","13.5","1.6","58,973","1,118","86.5","1.6"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","18003","Allen County, IN","67,611","0","9,172","1,145","13.6","1.7","58,439","1,145","86.4","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","18003","Allen County, IN","66,023","0","8,332","1,119","12.6","1.7","57,691","1,119","87.4","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","18005","Bartholomew County, IN","15,355","0","1,210","265","7.9","1.7","14,145","265","92.1","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2015","18005","Bartholomew County, IN","15,643","0","1,251","262","8.0","1.7","14,392","262","92.0","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2014","18005","Bartholomew County, IN","15,377","0","1,477","261","9.6","1.7","13,900","261","90.4","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2013","18005","Bartholomew County, IN","15,269","0","1,667","267","10.9","1.7","13,602","267","89.1","1.7"
"50 to 64 years","All Incomes","All Races","Both Sexes","2012","18005","Bartholomew County, IN","15,206","0","1,997","314","13.1","2.1","13,208","314","86.9","2.1"
"50 to 64 years","All Incomes","All Races","Both Sexes","2011","18005","Bartholomew County, IN","15,097","0","1,850","308","12.3","2.0","13,247","308","87.7","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2010","18005","Bartholomew County, IN","14,822","0","1,722","302","11.6","2.0","13,100","302","88.4","2.0"
"50 to 64 years","All Incomes","All Races","Both Sexes","2016","18007","Benton County, IN","1,830","0","163","41","8.9","2.2","1,667","41","91.1","2.2"
